id_census,id_county,id_state,id_rural,id_urban,id_totalpop,id_totalhousing,id_group,id_vehacc,acc_ur_1to10,acc_ur_1to20,acc_tract1,acc_tract10,acc_tract20,acc_store1,acc_store10,acc_store20,idv_income1,idv_income10,idv_income20,idv_inc_acc,idv_child1,idv_child10,idv_child20,idv_senior1,idv_senior10,idv_senior20,nbh_income,nbh_acc1,nbh_acc10,nbh_acc20
53061051928,Snohomish,WA,0,1,4783,1808,0,0,1,1,1,0,0,3444.296129,0,0,1124.72696,0,0,0,807.5294662,0,0,231.5804623,0,0,0,38.5711083,0,0
53061052003,Snohomish,WA,0,1,7273,2338,0,0,1,1,1,0,0,4453.992382,0,0,250.3510956,0,0,0,1402.592831,0,0,172.3590218,0,0,0,13.5001025,0,0
53061052004,Snohomish,WA,0,1,5746,2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53061052005,Snohomish,WA,0,1,5491,2469,0,0,1,1,1,0,0,544.8104272,0,0,80.6981104,0,0,0,135.9639242,0,0,73.41469041,0,0,0,4.545753639,0,0
53061052006,Snohomish,WA,0,1,4248,1417,0,0,1,1,1,0,0,1683.399785,0,0,284.7392053,0,0,0,499.7277489,0,0,107.7628649,0,0,0,0,0,0
53061052007,Snohomish,WA,0,1,4663,1534,0,0,1,1,1,0,0,2265.569092,0,0,243.2890784,0,0,0,668.3118747,0,0,97.33123793,0,0,0,0,0,0
53061052104,Snohomish,WA,1,0,3359,1165,0,0,0,0,1,0,0,2138.140571,0,0,335.7290425,0,0,0,579.3791196,0,0,182.2128942,0,0,0,16.69374146,0,0
53061052105,Snohomish,WA,1,0,1895,706,0,0,0,0,1,0,0,1894.181204,0,0,215.0851854,0,0,0,403.897681,0,0,245.9623949,0,0,0,12.14664013,0,0
53061052107,Snohomish,WA,0,1,3975,1375,0,0,1,1,1,0,0,3268.601091,0,0,361.490993,0,0,0,878.4263888,0,0,239.2862445,0,0,0,0,0,0
53061052108,Snohomish,WA,0,1,5814,2084,0,0,1,1,1,0,0,4322.897186,0,0,375.4474218,0,0,0,1066.308868,0,0,421.3908691,0,0,0,10.56201553,0,0
53061052112,Snohomish,WA,0,1,2607,926,0,0,1,1,1,0,0,2607.000017,0,0,607.140498,0,0,0,602.0000036,0,0,292.0000001,0,0,0,0,0,0
53061052113,Snohomish,WA,0,1,3006,1033,0,0,1,1,1,0,0,3006.000034,0,0,230.4840262,0,0,0,747.000005,0,0,293.0000001,0,0,0,7.538175039,0,0
53061052114,Snohomish,WA,0,1,4988,1528,0,0,1,1,1,0,0,3706.57434,0,0,200.1045447,0,0,0,1221.069781,0,0,193.4902545,0,0,0,8.692998691,0,0
53061052115,Snohomish,WA,0,1,6726,2212,0,0,0,0,0,0,0,73.7407134,0,0,6.159586919,0,0,0,23.84021715,0,0,3.577511319,0,0,0,0,0,0
53061052118,Snohomish,WA,0,1,6843,2258,0,0,1,1,1,0,0,2074.876034,0,0,44.42691033,0,0,0,690.8557012,0,0,124.4336548,0,0,0,0.115832107,0,0
53061052203,Snohomish,WA,0,1,5213,1703,0,0,1,1,1,0,0,3130.398239,0,0,268.4247654,0,0,0,887.8229943,0,0,228.6987736,0,0,0,16.54830496,0,0
53061052204,Snohomish,WA,0,1,5345,1633,0,0,1,1,1,0,0,2886.303244,0,0,471.5481727,0,0,0,1030.485742,0,0,97.77398657,0,0,0,30.3090397,0,0
53061052206,Snohomish,WA,1,0,4250,1530,0,0,0,0,1,0,0,4250.000011,0,0,404.6985294,0,0,0,1074.000002,0,0,374.0000006,0,0,0,28.342006,0,0
53061052207,Snohomish,WA,1,0,5469,1912,0,0,0,0,1,0,0,5069.244931,0,0,614.4344631,0,0,0,1287.5909,0,0,436.1722574,0,0,0,17.62870645,0,0
53061052208,Snohomish,WA,0,1,4096,1574,0,0,0,0,0,0,0,49.05915329,0,0,20.53284293,0,0,0,17.43522167,0,0,2.755462188,0,0,1,1.803525918,0,0
53061052209,Snohomish,WA,0,1,5029,899,0,0,1,1,1,0,0,3241.82789,0,0,214.0895639,0,0,0,233.3764628,0,0,144.3107425,0,0,0,14.18117528,0,0
53061052301,Snohomish,WA,1,0,4682,1681,0,0,0,0,1,0,0,4682.000013,0,0,434.1886451,0,0,0,1064.000005,0,0,429.0000054,0,0,0,8.896686119,0,0
53061052302,Snohomish,WA,1,0,3677,1312,0,0,0,0,1,0,0,3607.014529,0,0,363.0974618,0,0,0,872.6809032,0,0,418.2988569,0,0,0,8.267942367,0,0
53061052401,Snohomish,WA,0,1,4066,1556,0,0,0,0,0,0,0,94.82708881,0,0,11.85580812,0,0,0,20.79851664,0,0,7.359138168,0,0,0,1.546648288,0,0
53061052402,Snohomish,WA,0,1,3939,1731,0,0,1,1,1,0,0,722.2255761,0,0,241.9696404,0,0,0,163.5400395,0,0,95.9784816,0,0,1,0.251257509,0,0
53061052502,Snohomish,WA,0,1,4334,1572,0,0,1,1,1,0,0,2561.845229,0,0,416.6040279,0,0,0,577.6453638,0,0,372.3640272,0,0,0,0,0,0
53061052503,Snohomish,WA,0,1,6788,2335,0,0,1,1,1,0,0,1107.827141,0,0,97.98185723,0,0,0,305.2108349,0,0,130.221928,0,0,0,0,0,0
53061052504,Snohomish,WA,0,1,2503,903,0,0,1,1,1,0,0,819.09844,0,0,144.437581,0,0,0,200.5718452,0,0,67.13156992,0,0,0,0.846162531,0,0
53061052603,Snohomish,WA,0,1,2434,855,0,0,1,1,1,0,0,2140.513872,0,0,487.6379469,0,0,0,610.1383508,0,0,147.3149775,0,0,0,22.92659273,0,0
53061052604,Snohomish,WA,0,1,4240,1663,0,0,0,0,0,0,0,55.16107178,0,0,13.26172149,0,0,0,9.017688692,0,0,11.21365789,0,0,0,0,0,0
